Numero,Jogador,Informacao,Status
1,Neymar Jr.,Meio-campista talentoso com visão de jogo excepcional.,0
2,Lionel Messi,Atacante habilidoso com dribles desconcertantes.,0
3,Cristiano Ronaldo,Zagueiro sólido que lidera a defesa com maestria.,0
4,Kylian Mbappé,Goleiro com reflexos rápidos e ótimo posicionamento.,0
5,Luka Modrić,Meio-campista defensivo que protege bem a área.,0
6,Sergio Ramos,Atacante rápido e finalizador letal.,0
7,Robert Lewandowski,Defensor versátil que pode atuar em várias posições.,0
8,Kevin De Bruyne,Meio-campista criativo que dita o ritmo do jogo.,0
9,Harry Kane,Atacante oportunista que marca gols importantes.,0
10,Virgil van Dijk,Goleiro seguro e confiável.,0
11,Mohamed Salah,Zagueiro com excelente capacidade de marcação.,0
12,Antoine Griezmann,Meio-campista com passes precisos e lançamentos longos.,0
13,Eden Hazard,Atacante veloz que cria chances de gol.,0
14,Paul Pogba,Defensor experiente com grande presença de campo.,0
15,Sadio Mané,Meio-campista com habilidades de dribble.,0
16,Raheem Sterling,Atacante com faro de gol incrível.,0
17,Toni Kroos,Goleiro com grandes defesas de pênalti.,0
18,Alisson Becker,Defensor que bloqueia muitos chutes ao gol.,0
19,Karim Benzema,Meio-campista versátil que contribui defensivamente.,0
20,Thiago Silva,Atacante com chute potente de fora da área.,0
21,Ronaldo Oliveira,Meio-campista que domina o meio do campo.,0
22,Luisa Fernandes,Atacante jovem e promissor com grande futuro.,0
23,Marcelo Santos,Zagueiro que ganha a maioria das bolas aéreas.,0
24,Ana Silva,Meio-campista habilidoso com dribles curtos.,0
25,Giovanni Barbosa,Atacante com grande presença na área.,0
26,Luana Pereira,Goleiro com ótima capacidade de reposição de bola.,0
27,Gabriel Souza,Defensor físico que recupera muitas bolas.,0
28,Sophia Rodrigues,Meio-campista com chutes de longa distância.,0
29,Lucas Almeida,Atacante com capacidade de marcar de cabeça.,0
30,Eduarda Costa,Meio-campista que dita o ritmo do jogo.,0
31,Mateus Silva,Atacante com grande velocidade e agilidade.,0
32,Larissa Mendes,Defensor que impõe respeito na zaga.,0
33,Diego Lima,Meio-campista com excelente visão de jogo.,0
34,Isabel Oliveira,Atacante que cria oportunidades para a equipe.,0
35,Pedro Ribeiro,Zagueiro que antecipa jogadas com precisão.,0
36,Clara Fernandes,Goleiro que realiza defesas espetaculares.,0
37,Enzo Pereira,Meio-campista que distribui passes com maestria.,0
38,Manuela Alves,Atacante com faro de gol em jogadas aéreas.,0
39,Daniel Rodrigues,Defensor que bloqueia chutes perigosos.,0
40,Luiza Gonçalves,Meio-campista versátil que se adapta a diferentes funções.,0
41,Matheus Sousa,Atacante com grande técnica individual.,0
42,Beatriz Ferreira,Meio-campista com grande habilidade de drible.,0
43,João Santos,Goleiro que mantém a calma em situações de pressão.,0
44,Julia Barbosa,Defensor que impede avanços adversários com eficiência.,0
45,Guilherme Almeida,Meio-campista que lidera o time com inteligência.,0
46,Laura Fernandes,Atacante com presença constante na área.,0
47,Felipe Costa,Zagueiro que corta cruzamentos com precisão.,0
48,Mariana Oliveira,Goleiro com grande agilidade e reflexos.,0
49,Rafael Pereira,Meio-campista com passes decisivos.,0
50,Bruna Souza,Atacante que finaliza com precisão.,0
51,Thiago Ribeiro,Defensor que protege bem a área.,0
52,Leticia Lima,Meio-campista com grande energia e resistência.,0
53,Arthur Barbosa,Atacante com velocidade incrível.,0
54,Camila Fernandes,Goleiro que defende pênaltis com maestria.,0
55,Vinicius Almeida,Defensor que desarma oponentes com facilidade.,0
56,Sophie Costa,Meio-campista com visão periférica do jogo.,0
57,Henrique Silva,Atacante que faz gols em jogadas individuais.,0
58,Ana Clara Mendes,Zagueiro que é um líder na defesa.,0
59,Lucas Oliveira,Goleiro que inspira confiança à equipe.,0
60,Isabella Rodrigues,Meio-campista que lê o jogo com precisão.,0
61,Leonardo Mendes,Atacante com instinto de artilheiro.,0
62,Carolina Ribeiro,Defensor que marca com firmeza.,0
63,Gustavo Alves,Meio-campista que distribui assistências incríveis.,0
64,Clara Costa,Atacante que cria oportunidades do nada.,0
65,Lucas Rodrigues,Zagueiro que bloqueia cruzamentos com determinação.,0
66,Nicole Souza,Goleiro que se destaca em defesas de um contra um.,0
67,Matheus Almeida,Meio-campista com habilidades de cobrança de falta.,0
68,Valentina Pereira,Atacante que finaliza com frieza nas situações de um contra um.,0
69,Murilo Fernandes,Defensor que impede avanços adversários com segurança.,0
70,Sophia Lima,Meio-campista com inteligência tática excepcional.,0
71,Pedro Santos,Atacante com movimentação impressionante.,0
72,Lara Barbosa,Goleiro com grande confiança na área.,0
73,Samuel Oliveira,Defensor que não dá espaço aos atacantes.,0
74,Yasmin Silva,Meio-campista que controla o ritmo do jogo.,0
75,Heitor Ribeiro,Atacante com visão para os passes decisivos.,0
76,Clara Lima,Zagueiro que domina o jogo aéreo.,0
77,Enzo Costa,Goleiro que defende pênaltis com tranquilidade.,0
78,Ana Beatriz Fernandes,Meio-campista que cria oportunidades em jogadas de bola parada.,0
79,Lucas Lima,Atacante que finaliza de forma espetacular.,0
80,Maria Eduarda Almeida,Defensor que desarma os adversários com destreza.,0
81,Cauã Barbosa,Meio-campista que distribui assistências precisas.,0
82,Isadora Santos,Atacante que dribla com facilidade.,0
83,Rafael Souza,Zagueiro que bloqueia os chutes adversários com firmeza.,0
84,Maria Clara Rodrigues,Goleiro que mantém a calma sob pressão.,0
85,Gael Oliveira,Defensor que faz desarmes cruciais.,0
86,Luiza Lima,Meio-campista com passes precisos de longa distância.,0
87,Lucas Fernandes,Atacante que finaliza com eficácia nas situações de um contra um.,0
88,Lavinia Pereira,Meio-campista que lidera a pressão na defesa adversária.,0
89,Vicente Alves,Atacante com grande presença na área e cabeceio forte.,0
90,Clara Mendes,Zagueiro que é uma rocha na defesa.,0
91,Davi Rodrigues,Goleiro que brilha em defesas difíceis.,0
92,Leticia Almeida,Meio-campista que cria oportunidades com sua visão de jogo.,0
93,Benjamin Costa,Atacante que marca gols em momentos cruciais.,0
94,Ana Luiza Ribeiro,Defensor que bloqueia cruzamentos com autoridade.,0
95,Joaquim Barbosa,Meio-campista com visão panorâmica do campo.,0
96,Lorena Lima,Atacante que dribla com maestria os defensores.,0
97,Enzo Pereira,Zagueiro que é uma muralha na defesa.,0
98,Eloá Souza,Goleiro que realiza defesas espetaculares.,0
99,Caio Almeida,Meio-campista com passes precisos e visão de jogo incrível.,0
100,Helena Ribeiro,Atacante que finaliza com precisão cirúrgica.,0
101,Lorenzo Fernandes,Defensor que desarma com eficiência os adversários.,0
102,Melissa Costa,Meio-campista que distribui assistências de primeira classe.,0
103,Antonio Oliveira,Atacante que cria jogadas a partir do nada.,0
104,Ana Clara Mendes,Zagueiro que bloqueia chutes com coragem.,0
105,Augusto Rodrigues,Goleiro que inspira confiança à equipe.,0
106,Alice Lima,Defensor que não dá espaço aos atacantes adversários.,0
107,Leonardo Alves,Meio-campista que domina o jogo no meio de campo.,0
108,Marina Costa,Atacante com faro de gol aguçado.,0
109,Bernardo Pereira,Zagueiro que lidera a defesa com autoridade.,0
110,Esther Fernandes,Goleiro com reflexos incríveis.,0
111,Francisco Ribeiro,Meio-campista que cria oportunidades com passes decisivos.,0
112,Larissa Barbosa,Atacante que finaliza com precisão em situações de um contra um.,0
113,Benjamin Lima,Defensor que bloqueia chutes com determinação.,0
114,Clara Almeida,Meio-campista que dita o ritmo do jogo com maestria.,0
115,Eduardo Souza,Atacante com grande mobilidade e finalização letal.,0
116,Antonella Silva,Goleiro que brilha em defesas difíceis.,0
117,Henrique Barbosa,Defensor que protege a área com eficácia.,0
118,Maria Luiza Oliveira,Meio-campista com visão de jogo excepcional.,0
119,Daniel Ribeiro,Atacante que marca gols decisivos.,0
120,Leticia Costa,Zagueiro que corta cruzamentos com precisão.,0
121,Luis Suárez,Goleiro com agilidade e confiança.,0
122,Sergio Agüero,Meio-campista que distribui passes precisos de longa distância.,0
123,Robert Firmino,Atacante que dribla com facilidade.,0
124,Edinson Cavani,Defensor que bloqueia chutes perigosos com coragem.,0
125,Marco Reus,Meio-campista que lidera a equipe com inteligência.,0
126,Gianluigi Buffon,Atacante com faro de gol em jogadas aéreas.,0
127,Ederson Moraes,Zagueiro que domina o jogo aéreo na defesa.,0
128,Joshua Kimmich,Goleiro que defende pênaltis com tranquilidade.,0
129,Thomas Müller,Meio-campista com habilidades de cobrança de falta.,0
130,Angel Di María,Atacante que finaliza com frieza nas situações de um contra um.,0
131,Jadon Sancho,Defensor que impede avanços adversários com segurança.,0
132,Frenkie de Jong,Meio-campista com inteligência tática excepcional.,0
133,Hakim Ziyech,Atacante com movimentação impressionante.,0
134,Timo Werner,Goleiro que mantém a calma na área.,0
135,Lorenzo Insigne,Defensor que não dá espaço aos atacantes.,0
136,Giovanni Reyna,Meio-campista que controla o ritmo do jogo.,0
137,Kai Havertz,Atacante com visão para os passes decisivos.,0
138,Federico Chiesa,Zagueiro que domina o jogo aéreo com maestria.,0
139,Jules Koundé,Goleiro que defende pênaltis com tranquilidade.,0
140,Lucas Hernández,Meio-campista que cria oportunidades em jogadas de bola parada.,0
141,Kieran Trippier,Atacante que finaliza de forma espetacular.,0
142,Dayot Upamecano,Defensor que desarma os adversários com destreza.,0
143,Achraf Hakimi,Meio-campista que distribui assistências precisas.,0
144,Wilfred Ndidi,Atacante que dribla com maestria os defensores.,0
145,Declan Rice,Zagueiro que é uma muralha na defesa.,0
146,Trent Alexander-Arnold,Goleiro que realiza defesas espetaculares.,0
147,Riyad Mahrez,Meio-campista com passes precisos e visão de jogo incrível.,0
148,Bruno Fernandes,Atacante que finaliza com precisão cirúrgica.,0
149,Erling Haaland,Defensor que desarma com eficiência os adversários.,0
150,Marcus Rashford,Meio-campista que distribui assistências de primeira classe.,0
151,N'Golo Kanté,Atacante que cria jogadas a partir do nada.,0
152,Mason Mount,Zagueiro que bloqueia chutes com coragem.,0
153,Lautaro Martínez,Goleiro que inspira confiança à equipe.,0
154,Rodri Hernández,Defensor que não dá espaço aos atacantes adversários.,0
